Time,Faults,Avg Voltage,Avg Current,Time ms
0.12,n/a,15.07,116.58,120
0.22,n/a,14.997,127.32,220
0.32,n/a,15.015,138.19,320
0.42,n/a,15.107,149.05,420
0.52,n/a,15.308,159.79,520
0.62,n/a,15.546,170.05,620
0.72,n/a,15.839,180.3,720
0.82,n/a,16.15,190.68,820
0.92,n/a,16.407,199.1,920
1.02,n/a,16.462,203.01,1020
1.12,n/a,16.37,202.89,1120
1.22,n/a,16.315,202.15,1220
1.32,n/a,16.315,201.54,1320
1.42,n/a,16.297,201.06,1420
1.52,n/a,16.26,200.57,1520
1.62,n/a,16.224,200.08,1620
1.72,n/a,16.169,199.59,1720
1.82,n/a,16.132,199.22,1820
1.92,n/a,16.077,198.98,1920
2.02,n/a,16.041,198.74,2020
2.12,n/a,16.022,198.49,2120
2.22,n/a,15.986,198.37,2220
2.32,n/a,15.931,198.25,2320
2.42,n/a,15.912,198.25,2420
2.52,n/a,15.876,198.13,2520
2.62,n/a,15.857,198.13,2620
2.72,n/a,15.839,198,2720
2.82,n/a,15.821,197.76,2820
2.92,n/a,15.766,197.64,2920
3.02,n/a,15.748,197.76,3020
3.12,n/a,15.748,197.76,3120
3.22,n/a,15.729,197.76,3220
3.32,n/a,15.729,197.76,3320
3.42,n/a,15.711,197.76,3420
3.52,n/a,15.693,197.76,3520
3.62,n/a,15.674,197.76,3620
3.72,n/a,15.674,197.76,3720
3.82,n/a,15.656,197.76,3820
3.92,n/a,15.638,197.76,3920
4.02,n/a,15.619,197.76,4020
4.12,n/a,15.601,197.76,4120
4.22,n/a,15.601,197.76,4220
4.32,n/a,15.564,197.76,4320
4.42,n/a,15.583,197.76,4420
4.52,n/a,15.564,197.76,4520
4.62,n/a,15.564,197.76,4620
4.72,n/a,15.546,197.76,4720
4.82,n/a,15.546,197.76,4820
4.92,n/a,15.546,197.76,4920
5.02,n/a,15.528,197.76,5020
5.12,n/a,15.528,197.76,5120
5.22,n/a,15.51,197.76,5220
5.32,n/a,15.528,197.76,5320
5.42,n/a,15.51,197.76,5420
5.52,n/a,15.51,197.76,5520
5.62,n/a,15.491,197.76,5620
